id,signe,definition
3566,MUTUALITE(LSF),"Mutualité, mutuelle, service social, sécurité sociale"
2286,BAVARDE.FEU,"bavarder, prendre des nouvelles, avoir une conversation"
249,FEDERATION,fédération
3323,GAUCHE,gauche
3097,NS:MONS(PANINI),Mons
1215,PIANO,(jouer au) piano
1967,DE:PAS-ECOUTER,"ne pas écouter, faire la sourde oreille, écouter d'une oreille à l'autre, acquiser, hocher la tête"
2356,EMMERDE,"emmerder, s'en foutre, va te faire voir, je t'emmerde"
2429,NS:DANITZA(2-CHEVEUX),Danitza Athanassiadis
2596,ESSAYER-A-FOND,"essayer, tenter, faire le maximum, actif"
69,BAL,"bal, danser, soirée, tango"
1848,COUVEUSE,couveuse
2153,PIERRE.6,pierre
2616,TABLEAU.EXCEL,"tableau avec grillage, carreau, abaque"
2569,FACTURE,facture
3606,NS:RAYMONDE(BAVE),Raymonde Wilputte
1733,PORTE.PINCER,porte
2338,DE:EMOTION-SOURCILS-FRONCES,"déçu, fâché, en colère"
362,MONTER,"monter, escalier"
996,PROFITER,"profit, profiter"
2906,RIRE.SOURIRE,"rire, rigoler"
3232,ESSAYER.VISAGE,essayer
3800,MAL.GORGE,"mal gorge,"
412,PARTIE,partie
3693,DE:PAF-DECU,"paf, déçu, décevoir, désespoir, surpris, surprendre, pas content, décourager"
904,DECEMBRE,décembre
1592,POUR-RIEN,"pour rien, inutile"
2302,AIMER-NEG,Ne pas aimer
2927,CACAO,cacao
1278,CROISER-DES-DOIGTS,"croiser les doigts, espérer, croire, espoir"
2948,NS:DANEMARK(GRAVER),Danemark
3486,OUVRIR.VALISE,ouvrir
1647,SANS,sans
1214,VERIFIER,"vérifier, vérification, contrôle, contrôler"
567,WEEK-END,week-end
3403,CONCIERGE.ALBERT,concierge
3086,DIFFICILE.VINAIGRE,"difficile, dur, compliqué, complexe"
1488,KILOGRAMME,"poids, kilogramme, kg, balance"
3106,MINUIT.DOUZE,minuit
3421,NS:JEAN-CLAUDE(VISAGE-JOUE),Jean Claude
1111,DISCRIMINATION,"opprimer, oppression discriminer, discrimination, humilie"
859,FONDER,"fonder, créer, création, fondation"
3901,LAISSER.COTE,"laisser, mettre à côté"
3868,ROI.RECORD,"roi, reine"
1870,DE:DECOUVRIR,"(se) découvrir, (se) connaître"
3764,ETOILE.BASTOGNE,étoile
233,EXPLIQUER,expliquer
1862,PLUS.PUBLIC,"il n'y en a plus, ne plus en avoir, ne pas"
1707,SOLUTION,"solution, résultat"
2888,VISITE.MUTUELLE,visite chez quelqu’un
2025,BOIRE,"boire, boisson, shot, boire beaucoup, fête alcoolisée"
3209,ODEUR.MER,"odeur, odorat, sentir"
3957,PI(LSF),"pi, c'est, c'est ça"
2033,CONTE,"conte, conter, parler, raconter"
2791,SALUT.TETE,"bonjour, salut, hey, hello"
3033,THE.SACHET,"thé, sachet de thé, praline"
716,CENTRE,centre
2203,DIRE.8,dire
